Moment ID,Region,Timestamp,Group
7ZcbzueVfUJIme4mqdrHW,asia-east,5/13/2024 20:11,0
gkY3khnL_aUn1-h2a98aq,us-central,5/13/2024 12:58,0
y4P4I9lzLQuP8Kgz0fhL4,asia-west,5/13/2024 6:56,0
ILuyI4FXZAmiKZJDWwUwi,asia-east,5/13/2024 5:04,0
sN0-U_4dt6fPdGxW0OMwB,europe-west,5/13/2024 1:28,0
wYKKZrZDYTR7YkWtYEED4,us-central,5/12/2024 12:31,0
vbF1YMiABDOnf-Z0OojpO,europe-west,5/12/2024 5:43,0
z2ZUSxnD8-_8KsFnsHpuD,asia-east,5/12/2024 3:04,0
FjavvQ8LNoioLWlcMAn-K,asia-west,5/12/2024 1:32,0
XeNIeTKaBXXb6tojq1qhl,us-central,5/11/2024 11:05,0
#NAME?,asia-east,5/11/2024 4:53,0
v4wmQacVAf1kpe_dVsP4E,europe-west,5/11/2024 1:51,0
QGbz-YOEsDIOjgtwRVpuV,asia-west,5/11/2024 0:12,0
xaPXk2MBUrNXpHgkUZaKu,us-central,5/10/2024 9:58,0
kFvXB0D-Nkoof7uENjPYb,asia-west,5/10/2024 5:37,0
eMGxaRYHYu3XMBSieUgrh,europe-west,5/10/2024 3:43,0
jkk-c-Lf_HmKwJvUD_PRR,asia-east,5/9/2024 21:14,0
RRGnmw-GR9ygkELr87CoW,us-central,5/9/2024 10:13,0
RFAO83C29VD8dkb14FSDB,europe-west,5/9/2024 4:13,0
PW2RdAWi9j42g34XCrdGa,asia-west,5/9/2024 2:11,0
BGLwOgG0-tUyg2OzqEzfE,asia-east,5/9/2024 1:01,0
n5PisYjj-S-HDrDV52q2J,us-central,5/8/2024 11:22,0
9LZCC3Tl8zpT9Jltr0Xos,europe-west,5/8/2024 8:35,0
_hKSMkpkso8ndRGqgHgXC,asia-west,5/8/2024 7:42,0
UeAA1h0oQiVBAQFqUfbe0,asia-east,5/7/2024 23:38,0
pGBqRgFZKJQBIWvcKwpFw,us-central,5/7/2024 10:32,0
TO9C0DKXtR0lVCeNYClcK,asia-west,5/7/2024 9:24,0
43EsiTuAbbkuVyNzSy0UI,europe-west,5/7/2024 2:31,0
lgVRN2FHzueWf__2wFrvH,asia-east,5/6/2024 22:13,0
gUmpQ56PmxAUZDSXq1Mf4,us-central,5/6/2024 11:25,0
axc_v2rGN0hiPkaGiqdOD,europe-west,5/6/2024 4:03,0
jYDVsOeIb2Bu0C2x2pczQ,asia-west,5/6/2024 2:52,0
8Q-sZ7orctpYcO5zAdxKJ,asia-east,5/5/2024 23:31,0
UMnDtqVbbN0ZhFQXq8FF1,us-central,5/5/2024 12:40,0
o-wAuIsVQF4DgiKB_glJ_,europe-west,5/5/2024 11:35,0
sCS8Q5sH0exIu6r86jYMl,asia-west,5/5/2024 9:47,0
6weeNlB0gATjh3uGligjt,asia-east,5/5/2024 3:08,0
Rgin0g4A3FfmHTKgP_K8E,europe-west,5/4/2024 10:22,0
